금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,소재지도로명주소,관리기관명,위도,경도,데이터기준일자
올리브아카데미영.수학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 23 (영등동,종로 적)",전라북도 익산시,35.9358099,126.9615285,2022-03-09
글로리아음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 오산면 선화로 4길 42-12 (오산면 장신휴먼시아2단지),전라북도 익산시,35.94805265,126.9317955,2022-03-09
미래클피아노학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 1길 57-9 (모현동2가,배산휴먼시아 4단지)",전라북도 익산시,35.95472883,126.9380637,2022-03-09
중앙연기학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 무왕로 1085 (4층일부) (영등동),전라북도 익산시,35.95880906,126.977269,2022-03-09
모현민경아영어전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 7길 4 , 외3필지 303호 (모현동1가)",전라북도 익산시,35.94596092,126.9431551,2022-03-09
인조이잉글리쉬학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 무왕로 1066 (5층) (영등동),전라북도 익산시,35.9581475,126.975238,2022-03-09
율아트미술학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 고현로 102 (3층) (모현동1가),전라북도 익산시,35.94611577,126.9437763,2022-03-09
드림하이아카데미학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 고봉로 24길 15 (2층) (영등동),전라북도 익산시,35.954192,126.971021,2022-03-09
1318미리내학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송1로 110 , 오페라하우스상가 205호,206호 (부송동,오페라 하우스)",전라북도 익산시,35.9580973,126.9943732,2022-03-09
엄마손피아노학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 평동로 23길 56,전라북도 익산시,35.932624,126.9627749,2022-03-09
이한검과학전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 8길 22 , 405호,406호,407호 (영등동,엄마손김치찌게)",전라북도 익산시,35.9425285,126.9676955,2022-03-09
초아무용학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 1058 , (4층) (영등동,주택)",전라북도 익산시,35.958192,126.974441,2022-03-09
이룸독서실,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 평동로 12길 3 (동산동, 풍년제과동산점4층)",전라북도 익산시,35.928456,126.959328,2022-03-09
셀파우등생부송학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 궁동로 141 , (2층) (부송동,장길 )",전라북도 익산시,35.962991,126.9869329,2022-03-09
성지학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 동천로 1길 2, (2층) (동산동,옴속골고기마을)",전라북도 익산시,35.92933624,126.9676832,2022-03-09
스팀(STEAM)수학전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 93, 304호 (모현동1가)",전라북도 익산시,35.9455146,126.943181,2022-03-09
이얼싼중국어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 인북로 191 (남중동,주택)",전라북도 익산시,35.945841,126.955733,2022-03-09
더(The)쿠키학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 23길 42, 상가동 201호 (모현동1가,이화모현아파트)",전라북도 익산시,35.95111763,126.9476742,2022-03-09
샘물학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 궁동로 137 , 2층 (부송동,명보빌딩)",전라북도 익산시,35.96290927,126.9863552,2022-03-09
김지영음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 34길 29 , 520동 205호 일부 (영등동,영등3차제일아파트)",전라북도 익산시,35.96030456,126.9745213,2022-03-09
참독서실,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 하나로 9길 48 (영등동,문광학원)",전라북도 익산시,35.958024,126.976632,2022-03-09
마한색소폰학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 33길 12 , 3층301호 (남중동,상가)",전라북도 익산시,35.94675093,126.9538129,2022-03-09
모던실용음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송1로 84-1 , (3층) (부송동,탑텐입시학원)",전라북도 익산시,35.957708,126.991466,2022-03-09
쥴리어드음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 번영로 8길 223, 제일아파트 상가 203호 204 (평화동)",전라북도 익산시,35.93230382,126.9410421,2022-03-09
